epoch,loss,macro_f1,val_loss,val_macro_f1
0,1.6243911981582642,0.49498865008354187,1.723889946937561,0.49158817529678345
1,1.0207438468933105,0.6680512428283691,1.369632363319397,0.6036207675933838
2,0.7813529372215271,0.7419849038124084,1.4092832803726196,0.599829375743866
3,0.6428593993186951,0.7862606644630432,1.179090976715088,0.6805374026298523
4,0.5283892154693604,0.8242182731628418,1.4542816877365112,0.6259011030197144
5,0.4371638298034668,0.8527571558952332,1.4423315525054932,0.648714005947113
6,0.36615312099456787,0.8780698180198669,1.300474762916565,0.6944684386253357
7,0.3414764404296875,0.8811410069465637,1.3970067501068115,0.6747608184814453
8,0.29485154151916504,0.8975649476051331,1.657639741897583,0.6502740979194641
9,0.23433782160282135,0.9171109199523926,1.2161976099014282,0.7014589905738831
10,0.21909548342227936,0.9263066649436951,1.3625984191894531,0.6982053518295288
11,0.17940138280391693,0.9384041428565979,1.4649845361709595,0.6888399720191956
12,0.1898198276758194,0.9353855848312378,1.190058946609497,0.7139045596122742
13,0.17160552740097046,0.9390047192573547,1.3693435192108154,0.7110180854797363
14,0.14124350249767303,0.953182578086853,1.6912460327148438,0.6766791343688965
15,0.15595747530460358,0.949532151222229,1.8216091394424438,0.6632213592529297
16,0.13092707097530365,0.9530472159385681,1.5426868200302124,0.7002339363098145
17,0.1355368047952652,0.954340398311615,1.1826813220977783,0.7481299042701721
18,0.1017565131187439,0.9644375443458557,1.288752794265747,0.7314568161964417
19,0.1246194988489151,0.9558765292167664,1.4047276973724365,0.7253859043121338
20,0.1118510514497757,0.9639155268669128,1.280456781387329,0.7251760363578796
21,0.09956500679254532,0.9638559818267822,1.6604775190353394,0.6953328847885132
22,0.09608214348554611,0.9671930074691772,1.678147792816162,0.6839635968208313
23,0.09465806186199188,0.967404842376709,1.5022035837173462,0.7120797634124756
24,0.08582046627998352,0.9698159694671631,1.3478609323501587,0.7425559759140015
25,0.08440075814723969,0.9719386100769043,1.4112375974655151,0.7227053642272949
26,0.09608059376478195,0.9686395525932312,1.4492021799087524,0.7238180637359619
27,0.10585729032754898,0.9651393890380859,2.038585662841797,0.7024012207984924
28,0.08551408350467682,0.969331681728363,1.5494837760925293,0.7306225895881653
29,0.08309628814458847,0.9715180397033691,1.4758161306381226,0.7324722409248352
0,2.3241794109344482,0.275857150554657,167.20999145507812,0.1254187822341919
1,1.8458216190338135,0.39894020557403564,3.7912747859954834,0.23265071213245392
2,1.6603256464004517,0.4508744180202484,1.869853138923645,0.39252713322639465
3,1.528088092803955,0.4972793757915497,2.0645182132720947,0.35373952984809875
4,1.401516079902649,0.5391945242881775,3.1469945907592773,0.28170162439346313
5,1.3102805614471436,0.5611122250556946,3.0235586166381836,0.2816089987754822
6,1.239312767982483,0.5923575162887573,1.8645291328430176,0.4328325092792511
7,1.179582953453064,0.613247811794281,3.2000572681427,0.2920059263706207
8,1.0914989709854126,0.6383768916130066,3.148171901702881,0.3352166712284088
9,1.044737458229065,0.6530736684799194,2.065863609313965,0.43614980578422546
10,0.9780727028846741,0.67265385389328,2.6304776668548584,0.33934733271598816
11,0.943181037902832,0.6831056475639343,1.7566256523132324,0.5111876726150513
12,0.9078309535980225,0.6962411999702454,1.745530366897583,0.5355266332626343
13,0.859194815158844,0.7099921107292175,2.1893115043640137,0.43195003271102905
14,0.816466212272644,0.7226215600967407,2.041985511779785,0.45796242356300354
15,0.7690245509147644,0.7434813380241394,3.1791393756866455,0.3084180951118469
16,0.7304045557975769,0.7562422752380371,2.194582462310791,0.45595964789390564
17,0.6890618205070496,0.7671282291412354,2.3228867053985596,0.46124133467674255
0,0.9049993753433228,0.6983118653297424,1.5147989988327026,0.5602944493293762
1,0.8626396059989929,0.7112783193588257,1.4956413507461548,0.5636352896690369
2,0.8102211952209473,0.7306804060935974,1.4700671434402466,0.5689641833305359
3,0.8017018437385559,0.7284606695175171,1.452813982963562,0.572974681854248
4,0.7714539766311646,0.741020679473877,1.4378209114074707,0.5719137191772461
5,0.7521536350250244,0.7469719052314758,1.4326375722885132,0.5749040842056274
6,0.7388436198234558,0.7497762441635132,1.4236764907836914,0.5761412978172302
7,0.73372882604599,0.7529598474502563,1.4148287773132324,0.5769721865653992
8,0.7160980701446533,0.7569975852966309,1.409331202507019,0.5750946998596191
9,0.7125069499015808,0.7582787871360779,1.4045541286468506,0.5751663446426392
10,0.696057915687561,0.7575464844703674,1.4023540019989014,0.5774825811386108
11,0.6907956004142761,0.7703575491905212,1.3876692056655884,0.5781279802322388
12,0.6781100630760193,0.7635265588760376,1.391713261604309,0.5788449645042419
13,0.6724463105201721,0.7693224549293518,1.3901467323303223,0.5802650451660156
14,0.6711746454238892,0.7721036672592163,1.3917474746704102,0.5803510546684265
15,0.6581212282180786,0.7748191952705383,1.389958381652832,0.5808860659599304
16,0.667391836643219,0.7709103226661682,1.3842724561691284,0.5786985754966736
17,0.6475697755813599,0.7715252041816711,1.3803181648254395,0.5797855854034424
18,0.6534814238548279,0.7776777744293213,1.3837194442749023,0.5786120891571045
19,0.6444401741027832,0.7788926959037781,1.379509687423706,0.5826429128646851
