loss,macro_f1,val_loss,val_macro_f1
0.9049993753433228,0.6983118653297424,1.5147989988327026,0.5602944493293762
0.8626396059989929,0.7112783193588257,1.4956413507461548,0.5636352896690369
0.8102211952209473,0.7306804060935974,1.4700671434402466,0.5689641833305359
0.8017018437385559,0.7284606695175171,1.452813982963562,0.572974681854248
0.7714539766311646,0.741020679473877,1.4378209114074707,0.5719137191772461
0.7521536350250244,0.7469719052314758,1.4326375722885132,0.5749040842056274
0.7388436198234558,0.7497762441635132,1.4236764907836914,0.5761412978172302
0.73372882604599,0.7529598474502563,1.4148287773132324,0.5769721865653992
0.7160980701446533,0.7569975852966309,1.409331202507019,0.5750946998596191
0.7125069499015808,0.7582787871360779,1.4045541286468506,0.5751663446426392
0.696057915687561,0.7575464844703674,1.4023540019989014,0.5774825811386108
0.6907956004142761,0.7703575491905212,1.3876692056655884,0.5781279802322388
0.6781100630760193,0.7635265588760376,1.391713261604309,0.5788449645042419
0.6724463105201721,0.7693224549293518,1.3901467323303223,0.5802650451660156
0.6711746454238892,0.7721036672592163,1.3917474746704102,0.5803510546684265
0.6581212282180786,0.7748191952705383,1.389958381652832,0.5808860659599304
0.667391836643219,0.7709103226661682,1.3842724561691284,0.5786985754966736
0.6475697755813599,0.7715252041816711,1.3803181648254395,0.5797855854034424
0.6534814238548279,0.7776777744293213,1.3837194442749023,0.5786120891571045
0.6444401741027832,0.7788926959037781,1.379509687423706,0.5826429128646851
